Sex;Side;No;D;No_sub;Age;Length_cl;Shoulder_w;Proportion;Inner_C;Outer_C;Total_C;Inner_S;Middle_S;Outer_S;Inner_End_W;Inner_A_W;Least_W_W;Distance1_W;Conoid_W;Distance2_W;Outer_End_W;Inner_End_D;Middle_D;Conoid_D;Outer_D;Circumference;Index_End
female;sin;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;sin;2;0;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;sin;3;0;10;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;sin;4;0;14;59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;sin;5;0;20;59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;sin;6;0;26;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;sin;7;0;36;65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;sin;8;0;47;52;129;362;356;154;157;311;33;68;29;23;11;8;65;19;98;21;22;9;10;9;28;45
female;sin;9;0;60;69;139;357;389;151;155;306;46;68;28;21;10;9;75;22;105;28;28;10;13;10;32;49
female;sin;10;0;64;48;141;362;390;154;158;312;64;72;26;16;11;10;29;19;106;20;23;10;11;8;35;39
female;sin;11;0;68;20;130;342;380;158;153;311;40;54;86;20;10;10;40;21;90;23;22;10;11;8;34;42
female;sin;12;0;73;45;142;367;387;154;156;310;41;71;33;23;10;10;45;15;110;20;24;10;12;9;30;47
female;sin;13;0;79;49;149;372;401;146;163;309;53;70;32;23;11;10;67;17;113;25;21;11;11;10;33;44
female;sni;14;0;81;46;134;377;355;152;138;290;45;64;28;21;10;10;55;16;98;15;22;8;10;7;30;43
female;sin;15;1;82;28;133;330;403;159;154;313;37;67;30;20;8;8;37;17;95;16;24;10;11;9;32;44
zena;sin;16;1;83;31;139;385;361;153;159;312;36;71;35;20;11;10;18;24;104;29;24;11;11;11;33;44
female;sin;17;1;87;54;145;385;377;158;153;306;48;65;35;22;11;9;30;21;107;21;25;10;12;7;33;47
female;sin;18;0;96;46;155;251;441;150;145;295;53;75;84;21;11;10;36;16;120;16;22;10;11;6;34;43
female;sin;19;1;98;55;133;333;399;153;152;305;43;63;28;23;11;9;63;23;100;21;25;10;12;9;32;48
female;sin;20;1;104;44;127;348;365;156;143;299;38;60;32;21;9;8;48;18;96;22;20;9;12;11;30;41
female;sin;21;0;105;70;133;344;387;141;148;289;45;68;27;22;13;12;71;19;98;19;24;9;11;10;32;46
female;sin;22;1;106;25;138;358;389;153;154;307;48;63;28;26;12;12;50;21;104;22;28;14;10;8;42;54
female;sin;23;1;107;36;134;375;357;157;156;313;44;56;35;25;13;10;68;21;98;25;27;12;15;12;36;52
female;sin;24;1;108;73;139;372;374;157;161;318;47;66;28;23;11;9;57;17;106;17;23;11;11;10;34;46
female;sin;25;1;109;40;149;370;403;153;163;316;53;69;30;22;10;9;80;19;102;18;22;9;10;10;32;44
female;sin;26;1;110;30;128;331;387;151;158;309;49;52;29;20;8;7;35;14;96;15;19;10;10;6;34;39
female;sin;27;1;111;46;136;330;412;152;142;294;38;71;32;21;11;9;57;18;101;17;22;9;11;8;38;43
female;sin;28;1;112;19;132;331;399;156;143;299;40;62;32;20;13;10;73;17;98;23;21;9;12;11;30;41
female;sin;29;1;113;52;139;NA;NA;156;133;289;39;76;30;17;10;9;83;14;113;18;16;8;10;9;29;33
female;sin;30;1;123;45;135;372;363;156;155;311;39;73;25;27;11;10;55;23;101;24;20;9;11;6;31;47
zena;sin;31;1;124;67;142;372;382;156;160;316;47;67;31;23;12;11;37;21;107;25;24;10;9;8;35;47
female;sni;32;1;126;65;138;371;372;156;136;292;42;66;34;22;11;11;42;19;102;21;23;9;12;10;30;45
female;sin;33;1;128;60;133;357;373;147;149;296;44;64;31;20;10;10;42;18;100;20;26;10;10;11;35;46
female;sin;34;1;136;57;148;394;376;153;152;305;45;81;28;19;11;10;63;19;113;22;21;8;9;8;30;40
female;sin;35;1;137;64;136;405;336;147;149;296;45;72;25;20;10;9;33;13;104;16;22;9;10;8;31;42
female;sin;36;1;138;59;128;325;394;155;145;290;35;61;35;20;11;11;37;20;95;22;19;8;10;8;30;39
female;sin;37;1;139;73;140;377;371;156;152;308;35;69;39;23;12;10;60;19;102;23;25;11;11;10;34;48
female;sin;38;1;140;72;137;334;410;157;157;314;30;74;33;21;11;10;35;20;93;27;21;10;11;8;32;42
female;sin;39;1;141;39;136;353;395;156;154;310;35;71;32;20;12;10;53;24;99;25;20;10;9;9;30;40
female;sin;40;1;142;23;131;395;332;163;164;327;44;66;24;24;14;11;81;23;100;24;22;10;11;8;32;46
female;sin;41;1;143;26;134;342;392;157;157;314;45;66;26;20;11;9;35;18;104;22;21;10;12;11;31;41
female;sin;42;1;144;25;141;383;368;152;149;311;51;70;24;20;10;9;30;18;101;11;19;11;10;8;33;39
female;sin;43;1;145;27;128;339;378;153;149;302;40;60;28;20;11;10;25;19;98;20;22;11;10;9;33;42
female;sin;44;1;146;26;139;358;388;158;149;307;35;74;31;19;11;10;88;22;99;24;22;10;9;8;31;41
female;sin;45;1;147;58;140;402;348;154;140;294;44;69;32;27;11;10;75;14;107;23;26;10;11;11;31;53
female;sin;46;1;148;40;130;364;357;149;152;301;32;72;28;19;10;10;28;19;97;23;22;9;11;9;30;41
female;sin;47;1;149;64;150;366;410;156;157;313;46;80;28;23;11;10;36;20;115;27;20;10;11;7;32;43
female;sin;48;1;150;30;130;351;370;166;161;327;34;70;26;20;13;11;69;20;99;26;26;9;10;10;30;46
female;sin;49;1;151;38;154;413;373;151;141;292;53;64;42;26;12;12;67;15;117;14;28;12;11;10;35;54
female;sin;50;1;153;19;142;345;412;152;148;300;46;72;28;22;11;11;63;17;107;26;25;10;12;9;35;47
female;sin;51;1;154;48;129;359;359;159;156;315;39;64;30;21;12;9;77;18;103;21;27;11;9;8;32;48
female;sin;52;1;156;28;134;340;394;151;150;301;38;71;29;22;10;9;80;17;104;23;24;9;12;9;29;46
female;sin;53;1;158;24;162;413;392;159;136;295;60;88;25;23;12;12;73;20;121;25;24;10;12;10;35;47
female;sin;54;1;159;30;135;355;380;157;157;314;47;60;30;17;11;9;24;15;92;19;24;9;11;8;30;41
female;sin;55;1;162;32;137;370;370;164;163;327;42;67;30;20;12;12;68;15;106;25;21;8;9;7;29;41
female;si;56;1;174;33;135;352;384;144;142;286;39;65;36;18;10;10;27;17;100;16;23;9;10;8;32;41
female;sin;57;1;175;35;162;375;433;154;146;300;45;81;40;20;11;10;64;17;121;19;24;10;12;9;32;44
female;sin;58;1;176;18;134;341;393;161;146;307;32;73;33;17;9;8;43;12;102;18;17;8;9;8;26;34
female;sin;59;1;177;24;121;306;295;161;141;302;25;68;33;18;11;9;63;13;93;15;17;9;11;10;27;35
female;sin;60;1;179;76;146;383;381;153;1448;301;46;80;25;21;12;11;33;16;112;21;24;11;11;9;35;45
female;sin;61;1;180;32;149;363;410;155;144;299;39;74;39;22;10;9;53;20;111;21;22;10;12;9;31;44
